"Date","Price","Open","High","Low","Vol.","Change %"
"2024-03-01","145.13","144.78","146.51","144.13","249.78K","0.34%"
"2024-02-29","144.64","147.48","147.54","144.37","493.59K","-1.81%"
"2024-02-28","147.30","145.82","148.10","144.99","540.53K","0.59%"
"2024-02-27","146.43","145.80","146.60","143.59","395.61K","0.47%"
"2024-02-26","145.74","144.60","146.71","143.56","400.66K","0.79%"
"2024-02-23","144.60","143.00","144.72","141.68","649.04K","1.18%"
"2024-02-22","142.92","138.84","143.51","138.13","655.38K","3.48%"
"2024-02-21","138.11","138.80","139.28","137.98","279.21K","-0.65%"
"2024-02-20","139.02","137.70","140.18","137.43","305.36K","0.91%"
"2024-02-16","137.76","137.00","138.09","136.12","265.39K","0.72%"
"2024-02-15","136.77","136.19","137.14","135.61","194.05K","0.61%"
"2024-02-14","135.94","133.74","136.06","133.23","269.89K","2.08%"
"2024-02-13","133.17","133.08","134.10","132.55","283.53K","-0.47%"
"2024-02-12","133.80","133.87","135.22","133.65","189.45K","-0.15%"
"2024-02-09","134.00","133.80","134.45","133.30","298.28K","0.00%"
"2024-02-08","134.00","134.49","135.46","133.38","363.96K","-0.56%"
"2024-02-07","134.76","134.67","135.86","134.47","174.48K","-0.10%"
"2024-02-06","134.90","134.47","135.07","133.59","236.49K","0.16%"
"2024-02-05","134.68","136.14","136.39","134.35","297.15K","-1.01%"
"2024-02-02","136.06","135.86","136.68","135.00","254.58K","0.14%"
"2024-02-01","135.87","134.94","136.01","134.55","170.58K","1.13%"
"2024-01-31","134.35","134.93","135.25","134.18","403.19K","-0.27%"
"2024-01-30","134.71","134.59","135.37","133.93","234.42K","0.06%"
"2024-01-29","134.63","133.55","134.64","133.55","259.08K","0.81%"
"2024-01-26","133.55","133.79","134.75","133.40","443.81K","-0.46%"
"2024-01-25","134.17","134.16","134.36","132.92","394.71K","-0.16%"
"2024-01-24","134.39","134.62","136.55","134.01","480.06K","-0.17%"
"2024-01-23","134.62","133.01","135.04","133.01","416.93K","0.99%"
"2024-01-22","133.30","134.13","134.69","133.10","303.90K","-0.49%"
"2024-01-19","133.96","134.92","135.16","133.27","556.68K","-0.77%"
"2024-01-18","135.00","131.74","135.64","131.02","432.03K","2.52%"
"2024-01-17","131.68","132.26","132.81","130.32","383.85K","-0.84%"
"2024-01-16","132.80","131.00","133.00","130.74","361.19K","1.09%"
"2024-01-15","131.37","129.00","131.71","129.00","214.18K","1.51%"
"2024-01-12","129.41","130.00","131.04","128.38","409.29K","-0.32%"
"2024-01-11","129.82","128.00","130.00","127.17","290.81K","1.75%"
"2024-01-10","127.59","126.41","127.66","126.15","171.52K","0.80%"
"2024-01-09","126.58","127.15","127.35","126.38","505.90K","-0.80%"
"2024-01-08","127.60","126.89","127.89","126.19","369.83K","0.65%"
"2024-01-05","126.78","126.50","126.84","125.66","213.97K","0.15%"
"2024-01-04","126.59","127.34","127.50","125.95","445.81K","-0.71%"
"2024-01-03","127.50","128.26","128.92","127.31","172.92K","-0.55%"
"2024-01-02","128.20","127.71","128.69","127.01","229.25K","-0.06%"
"2023-12-29","128.28","127.31","128.44","127.31","159.26K","0.71%"
"2023-12-28","127.37","127.74","128.12","126.93","171.09K","0.25%"
"2023-12-27","127.05","125.36","127.75","125.22","175.82K","0.79%"
"2023-12-22","126.06","125.17","126.52","124.76","472.48K","0.71%"
"2023-12-21","125.17","124.27","125.23","123.96","347.27K","1.03%"
"2023-12-20","123.90","122.15","124.44","122.11","661.72K","1.36%"
"2023-12-19","122.24","119.99","122.74","119.99","719.11K","1.76%"
"2023-12-18","120.12","118.53","120.65","118.20","510.39K","1.30%"
"2023-12-15","118.58","120.56","120.56","118.34","1.43M","-1.18%"
"2023-12-14","119.99","125.10","125.65","118.02","1.23M","-4.83%"
"2023-12-13","126.08","125.00","126.60","124.65","642.40K","0.70%"
"2023-12-12","125.20","125.00","125.50","124.38","556.96K","0.16%"
"2023-12-11","125.00","123.87","125.19","123.37","438.83K","0.77%"
"2023-12-08","124.05","123.31","125.00","122.87","585.54K","0.54%"
"2023-12-07","123.38","123.10","123.72","122.29","506.72K","0.49%"
"2023-12-06","122.78","121.21","123.90","120.50","802.76K","1.52%"
"2023-12-05","120.94","118.99","121.36","118.74","607.49K","1.82%"
"2023-12-04","118.78","118.50","119.22","117.62","318.19K","0.50%"
"2023-12-01","118.19","117.71","118.60","117.14","531.22K","1.02%"
"2023-11-30","117.00","120.90","120.90","116.81","2.47M","-2.87%"
"2023-11-29","120.46","119.64","121.67","118.95","519.21K","0.32%"
"2023-11-28","120.07","121.25","121.95","119.80","544.51K","-1.36%"
"2023-11-27","121.73","121.29","121.86","120.61","404.22K","0.05%"
"2023-11-24","121.67","121.71","122.34","121.24","209.78K","-0.03%"
"2023-11-23","121.71","122.36","123.14","121.62","147.14K","-0.52%"
"2023-11-22","122.35","119.32","122.78","118.60","597.65K","2.74%"
"2023-11-21","119.09","121.11","121.11","118.75","451.90K","-1.39%"
"2023-11-20","120.77","121.00","121.72","120.50","314.80K","-0.81%"
"2023-11-17","121.76","123.10","123.48","121.34","525.88K","-0.94%"
